texto,y_true,y_pred,score_1,score_3,score_4,score_max
relación estatus étnico consumo alcohol analizar igualdad condición inglaterra zelando eir uu resultado mostrar grupo minoritario generalmente beber alcohol población blanco ee uu hombre mexicoamericano prevalenciar consumo alcohol hombre blanco hispano forma dañino consumo alcohol resultado mostrar inglaterra hombre mujer blanco probabilidad participar consumo peligroso alcohol hed figurar 16 hallazgo país raro estadísticamente significativo,3,3,-1.1699645049456477,1.0180335170833117,-0.9464077841091696,1.0180335170833117
país ocde reducción 10 mortalidad ecv esperanza vida 65 año aumentar 43 disminución mortalidad ecv representar 30 variación país aumento esperanzo vida cambio mortalidad ecv predictor fuerte esperanza vida 65 año hombre mujer,3,3,-1.0870506293527695,1.03387943036482,-1.0023466409830069,1.03387943036482
etapa seguimiento ocurrir 1314 año gimnasio 6 año 13 estudiante grupo edad relevante matriculado vía strakovo et estudiante seleccionado vía examen admisión prueba aptitud rendimiento académico alto generalmente optar vía general gimnasio liceo,4,4,-1.0903921618005747,-0.6251953723085444,0.6405042171198287,0.6405042171198287
persona respetable pobre sexo avergonzarir aparecer público libro 5 capítulo 2 1776 entender ingreso familiar ingreso familiar disponible impuesto transferencia público equivalúa economía escala disponible tamaño hogar usar raíz cuadrado tamaño hogar,1,1,0.5764865496004348,-0.89682211774852,-0.778617255163748,0.5764865496004348
basar publicación anual indicador educación nivel nacional regional gobierno central región preparar edición anual informir situación desarrollo sistema educativo evaluar avance respectivo objetivo político plazo asimismo referencia internacional rendimiento alumno proporcionar encuesta internacional estudiant pís timss influido hora impulsar desarrollo política nivel sistema,4,4,-1.0398183733213469,-1.0942423676388684,1.00301046777432,1.00301046777432
figurar 42 presentar ganancia simulado habilidad 15 año inducida aumento habilidadser 14 año nivel habilidadser 14 año corea mostrar niño comenzar nivel decil habilidad ganar cantidad habilidad período efecto aumentar habilidad social emocional caso sentido responsabilidad lugar control autoestimo niño 14 año habilidad social emocional 15 año aumentar nivel habilidades social emocional 15 año 14 año línea azul panel b,4,4,-0.48487364574678793,-0.4721947467500468,-0.0359787686409303,-0.0359787686409303
escuela educación distancio universiti sains malaysia programa educación distancio nivel terciario malasia faltar estructura mecanismo coordinación nivel regional articular visión plazo implementar estrategia desarrollo integrado institución educativo consecuencia político federal vinculado verticalmente institución educación superior atención limitado relación horizontal institución región,4,4,-1.326603434558935,-1.139671962822569,1.3368549667340328,1.3368549667340328
hallazgo clave capacidad cognitiva general estudiant interactuar nivel estructuración proporcionado profesor estudiant obtener puntuación bajo medida capacidad general obtener mejor resultado entorno aprendizaje controlado profesor profesor mantener alto nivel control clás dividir pequeño unidad instrucción directo retroalimentación frecuente contrario ocurrir alumno capacidad general beneficiar llamado entornos aprendizaje descubrimiento centrado alumno concepto enseñanza adaptativo respuesta constatación profesor capacitado tomar decisión momento funcionar alumno medido alumno adquirir aptitud experiencia objetivo pedagógico enseñanza adapto vuelve intrusivo,4,4,-1.512343084377409,-1.2192989660803428,1.5879167955963776,1.5879167955963776
telón fondo prolongado faltar fuente oficial información fiable producción tráfico indebido droga ilícito país región haber informe medio comunicación anecdótico indebido generalizado comprimido falsificado captagon contener anfetamín parte implicado violencia armado república árabe sirio significativo año estudio opio afganistán 2015 disponer resumen ejecutivo señalar producido disminución superficie estimado cultivo ilícito adormiderar afganistán 2015 ascender 183000 hectárea representar disminución comparación 2014 cultivo alcanzar nivel récord 224000 hectárea,3,3,-0.8519345296651325,0.17838145815076378,-0.3602721564061297,0.17838145815076378
reforma monetización mejorado notificación gasto social ejemplo véase cuadro 33 obstante experiencia país ocde configuración constitucional federal sugerir probable infradeclaración gasto social nivel inferior gobierno adema ladaique 2009 caso niño discapacitado 15 año 120 natural ejemplo prestación veterano guerra niño discapacitado fondo pensión rusia abonar pensión vejez supervivencia invalidez basado registro empleo persona catalogado discapacitada,1,1,0.1862923057554403,-0.5543604332652725,-0.6511909337956121,0.1862923057554403
diferenciar variar significativamente grupo socioeconómico 441 estudiante pie nivel socioeconómico diagnosticado necesidad especial permanente 12 estudiante pie nivel socioeconómico alto diagnosticado dicho necesidad figurar 35 diferencia proveedor escuela escuela municipal probabilidad matricular estudiante discapacidad permanente escuela privado subvencionado,4,4,-1.1888325875955477,-0.6053504588383819,0.6570668021780453,0.6570668021780453
actualidad mayoría país ocde utilizar plan estudio servicio infancio especialmente medido niño crecer generalmente aceptar estructuración orientación experiencia niño objetivo educativo actualidad orientación pedagógico niño pequeño desarrollo neurológico lugar año ocde 2006 plan estudio influido factor valor sociedad estándar contenido resultado investigación expectativa comunidad cultura idiomo,4,4,-1.0996635500747525,-0.8997088472515362,0.8582209712216142,0.8582209712216142
argumentar agregación información privación índizar intrínsecamente problemático término ponderación riesgo enmascarar privación dimensión concreto rendimiento dimensión incluido índice mayoría comentario abordar parte metodologir moda análisis privación único análisis solapamiento índice utilizado estudio moda permitir comparar resultado país región grupo población trazar perfil niño familia perteneciente diverso grupo población seguir alkire foster 2011a recuento ajustado descomponer responder pregunta contribución grupo población específico nivel privación,1,1,-0.04768088200248666,-0.546933364668715,-0.44166500195710034,-0.04768088200248666
función temporal realizar él petición director centro dirección centro autonomir distribuir función específico temporal profesor centro país personal apoyo aprendizaje soler ayudar profesor labor docente prestar apoyo alumno contribuir actividad general centro relacionado aprendizaje personal apoyo aprendizaje común kazajstán ayudant laboratorio asignatura físico químico biología informático,4,4,-1.356965727195294,-0.9371388822366318,1.1098872499340604,1.1098872499340604
fuente estadística salud ocde 2014 mayorir país ocde implementado cobertura sanitario universal población país informar 2012 significativo población asegurado grecia méxico unidos,3,3,-1.34470523406383,1.2600708405209329,-1.0225137700222398,1.2600708405209329
cifra mitad corresponder madre 15 24 año mitad madre 25 29 año ir organización registro civil 2010 embarazo deseado aborto clandestino conllevar considerable riesgo salud servicio rutinario atención sanitario aborto hosseini-chavoshi 2012 adolescente país desarrollo riesgos salud asociado embarazo deseado incluir mayor tasa anemiar parto prematuro peso nacer p£rez-lópez 2011 caso embarazo deseado llegar término riesgo niño incluir nacimiento mortinato pesar nacer disfunción mental físico muerte neonatal negligencia marston cleland 2003a,3,3,-1.0362224568241114,1.1499668637055773,-1.304894193876689,1.1499668637055773
ministerio otorgar licencia funcionamiento escuela desarrollo política garantizar derecho educación libertad educación proponer cambio marco legal regir educación desarrollar componente obligatorio currículo monitoreo desempeño escolar estudiantil asigna distribuir subsidio escolar diferenciar grado autonomiar escuela municipal gestión privado subvencionado matriculado 50 alumno incluido restricción administrativo financiero laboral escuela gestión privado pleno autonomía escuela municipal alto nivel autonomiar mitad decisión afectar práctica educativo tomar nivel escuela mitad restante nivel municipal,4,4,-1.2070283101631785,-1.4267966889933614,1.4756947779345981,1.4756947779345981
general implementación sólido sistemático estrategia participación paciente programa alfabetización salud reducir daño agregado 15 retorno inversión problema seguridad medicamento adir entorno sorprendente intervención dirigido dispensación administración medicamento ocupar lugar comparativamente opción proporcionada encuesta estudio útil destacar valor enfoque interprofesional seguridad medicamento,3,3,-1.0777108149090069,0.5326142003596277,-0.5896921365203363,0.5326142003596277
mortalidad tratable muerte evitar él atención médico oportuna eficaz proporcionar medido impacto atención salud salud población esperanzo vida ver afectado prevalencia enfermedad logro médico gay et tasa mortalidad tratable finlandia hombre alto país nórdico mujer bajo islandio resultado variar ampliamente enfermedad enfermedad sistema circulatorio cáncer junto representar 80 mortalidad tratable finlandia ocde,3,3,-2.0173729976061336,2.4802879907623336,-1.7308231789671527,2.4802879907623336
sistema educativo esloveno combinar programa escolar aprendizaje trabajar 16 alumno secundario superior participar 60 matriculado programa orientación profesional reforma efp 2002 permitir 20 plan estudio flexible función necesidad condición local autoridad deber introducir incentivo suficiente garantizar participación determinación plar estudio programa estudio basado trabajo dato internacional sugerir resultado laboral titulado educación secundario superior profesional tender correspondientemente favorable participación programa aprendizaje especialmente elevado,4,4,-1.2762066445705562,-1.311799330651017,1.4112367466425668,1.4112367466425668
trabajador extranjero soler venir lugar lejano filipino ejemplo forma apoyo comunitario proporcionada directamente ministerio bienestar servicio social fondo salud obligación nhi atención institucional supervisado ministerio salud proporcionado combinación institución administrado gobierno establecimiento administrado fondo salud particular gobierno ministerio salud proponer reforma incluir cuidado plazo institucional doméstico responsabilidad fondo salud aumentar subsidio hogar ejemplo ampliación provisión en-cuidado tipo†hora apoyo doméstico fondo salud responsable atención plazo dudar beneficio potencial ejemplo mejorar atención atención preventivo,3,3,-0.6270501848243847,0.6836433662385817,-1.1880444102821572,0.6836433662385817
